Digits,Largest Prime,Run 1,Run 2,Run 3,Run 4,Run 5,
1,7,0.000008700000762,0.000002699998731,0.000002299999323,0.000001699998393,0.000000899999577,0.000003259999357
2,97,0.000004099998478,0.000001899999916,0.000001200001861,0.000001000000339,0.000001000000339,0.000001840000186
3,997,0.000005900001270,0.000003000001016,0.000002199998562,0.000001199998223,0.000001200001861,0.000002700000186
4,9973,0.000013000000763,0.000008800001524,0.000007700000424,0.000007700000424,0.000007499998901,0.000008940000407
5,99991,0.000009600000340,0.000006399997801,0.000005400001100,0.000005300000339,0.000005200003216,0.000006380000559
6,999983,0.000032299998566,0.000027200003387,0.000024700002541,0.000024299999495,0.000024299999495,0.000026560000697
7,9999991,0.000081199999840,0.000074200001109,0.000053899999330,0.000072700000601,0.000056000000768,0.000067600000330
8,99999989,0.000169399998413,0.000150700001541,0.000249900000199,0.000149100000272,0.000148800001625,0.000173580000410
9,999999937,0.000775900000008,0.000671999998303,0.000681700003042,0.000690499997290,0.000694099999237,0.000702839999576
10,9999999967,0.001506499997049,0.001440100000764,0.001446600002964,0.001459200000681,0.001491100003477,0.001468700000987
11,99999999977,0.005328100000042,0.005019999996875,0.004817000000912,0.004834300001676,0.004826999997022,0.004965279999305
12,999999999989,0.015019299997221,0.015964799997164,0.013998700000229,0.014425800000026,0.014687099999719,0.014819139998872
13,9999999999971,0.053044899999804,0.046815900001093,0.050613300001714,0.045305100000405,0.066655099999480,0.052486860000499
14,99999999999973,0.188943400000425,0.196880999999848,0.176850600000761,0.180024799999955,0.175041400001646,0.183548240000527
15,999999999999989,0.456555299999308,0.454291799997008,0.451273299997410,0.460300000002462,0.483920900001976,0.461268259999633
16,9999999999999930,2.726077800001800,2.751287699997190,2.758025300001460,2.808298299998560,2.832383900000420,2.775214599999890
17,99999999999999900,4.724604800001540,4.750461700001320,4.675245799997350,4.702915800000480,4.726730200000020,4.715991660000140
18,999999999999999000,15.046674400000400,14.965640299997100,14.889606699998600,14.923764899998700,14.950368000001600,14.955210859999300
19,9999999999999990000,105.410339899997000,104.814722300001000,104.523757499999000,103.766643599999000,103.534599499998000,104.410012559999000
